chain_id,dex_id,factory_address,geckoterminal_url,name,router_address
1,,,https://www.geckoterminal.com/eth/uniswap_v3/pools,Uniswap V3,
1,,,https://www.geckoterminal.com/eth/uniswap_v2/pools,Uniswap V2,
1,,,https://www.geckoterminal.com/eth/curve/pools,Curve,
1,,,https://www.geckoterminal.com/eth/sushiswap/pools,SushiSwap,
1,,,https://www.geckoterminal.com/eth/balancer_ethereum/pools,Balancer,
1,,,https://www.geckoterminal.com/eth/pancakeswap-v3-ethereum/pools,Pancakeswap V3 (Ethereum),
1,,,https://www.geckoterminal.com/eth/fraxswap_ethereum/pools,Fraxswap (Ethereum),
1,,,https://www.geckoterminal.com/eth/shibaswap/pools,Shibaswap,
1,,,https://www.geckoterminal.com/eth/saitaswap-ethereum/pools,Saitaswap (Ethereum),
1,,,https://www.geckoterminal.com/eth/verse/pools,Verse,
1,,,https://www.geckoterminal.com/eth/pancakeswap_ethereum/pools,Pancakeswap (Ethereum),
1,,,https://www.geckoterminal.com/eth/defi_swap/pools,Defi Swap,
1,,,https://www.geckoterminal.com/eth/dooar_ethereum/pools,DOOAR (Ethereum),
1,,,https://www.geckoterminal.com/eth/radioshack_ethereum/pools,RadioShack (Ethereum),
1,,,https://www.geckoterminal.com/eth/kyberswap_classic_ethereum/pools,Kyberswap Classic (Ethereum),
1,,,https://www.geckoterminal.com/eth/concave/pools,Concave,
1,,,https://www.geckoterminal.com/eth/solidlydex/pools,Solidly,
1,,,https://www.geckoterminal.com/eth/elk_finance_ethereum/pools,Elk Finance (Ethereum),
1,,,https://www.geckoterminal.com/eth/standard_ethereum/pools,Standard (Ethereum),
1,,,https://www.geckoterminal.com/eth/unicly/pools,Unicly,
1,,,https://www.geckoterminal.com/eth/sakeswap/pools,SakeSwap,
1,,,https://www.geckoterminal.com/eth/whiteswap/pools,Whiteswap,
1,,,https://www.geckoterminal.com/eth/apeswap_ethereum/pools,ApeSwap (Ethereum),
1,,,https://www.geckoterminal.com/eth/degenswap/pools,DegenSwap,
1,,,https://www.geckoterminal.com/eth/kyberswap_elastic/pools,KyberSwap Elastic,
1,,,https://www.geckoterminal.com/eth/smardex/pools,SmarDex,
1,,,https://www.geckoterminal.com/eth/safemoonswap_ethereum/pools,SafemoonSwap (Ethereum),
1,,,https://www.geckoterminal.com/eth/spice_trade_ethereum/pools,Spice Trade (Ethereum),
1,,,https://www.geckoterminal.com/eth/templedao/pools,TempleDAO,
1,,,https://www.geckoterminal.com/eth/antfarm/pools,Antfarm,
1,,,https://www.geckoterminal.com/eth/swapr_ethereum/pools,Swapr (Ethereum),
5,,,https://www.geckoterminal.com/goerli-testnet/uniswap-goerli-testnet/pools,Uniswap (Goerli Testnet),
10,,,https://www.geckoterminal.com/optimism/uniswap_v3_optimism/pools,Uniswap V3 (Optimism),
10,,,https://www.geckoterminal.com/optimism/velodrome/pools,Velodrome Finance,
10,,,https://www.geckoterminal.com/optimism/curve_optimism/pools,Curve (Optimism),
10,,,https://www.geckoterminal.com/optimism/beethoven_x_optimism/pools,Beethoven X (Optimism),
10,,,https://www.geckoterminal.com/optimism/kyberswap_classic_optimism/pools,Kyberswap Classic (Optimism),
10,,,https://www.geckoterminal.com/optimism/fraxswap_optimism/pools,Fraxswap (Optimism),
10,,,https://www.geckoterminal.com/optimism/kyberswap_elastic_optimism/pools,Kyberswap Elastic (Optimism),
10,,,https://www.geckoterminal.com/optimism/zipswap/pools,ZipSwap,
10,,,https://www.geckoterminal.com/optimism/openxswap/pools,OpenXSwap,
10,,,https://www.geckoterminal.com/optimism/elk_finance_optimism/pools,Elk Finance (Optimism),
10,,,https://www.geckoterminal.com/optimism/radioshack_optimism/pools,Radioshack (Optimism),
