network_chain_id,network_explorer_url,network_geckoterminal_url,network_identifier,network_name,network_native_currency_address,network_native_currency_symbol
1,https://etherscan.io,https://www.geckoterminal.com/eth/pools,eth,Ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
56,https://bscscan.com,https://www.geckoterminal.com/bsc/pools,bsc,BNB Chain,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,BNB
42161,https://arbiscan.io,https://www.geckoterminal.com/arbitrum/pools,arbitrum,Arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH
137,https://polygonscan.com,https://www.geckoterminal.com/polygon_pos/pools,polygon_pos,Polygon POS,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,ETH
10,https://optimistic.etherscan.io,https://www.geckoterminal.com/optimism/pools,optimism,Optimism,0x4200000000000000000000000000000000000006,ETH
43114,https://avascan.info/blockchain/c,https://www.geckoterminal.com/avax/pools,avax,Avalanche,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX
324,https://explorer.zksync.io,https://www.geckoterminal.com/zksync/pools,zksync,ZkSync,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,eth
250,https://ftmscan.com,https://www.geckoterminal.com/ftm/pools,ftm,Fantom,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,FTM
7700,https://evm.explorer.canto.io,https://www.geckoterminal.com/canto/pools,canto,Canto,0x826551890dc65655a0aceca109ab11abdbd7a07b,canto
8217,https://scope.klaytn.com,https://www.geckoterminal.com/klaytn/pools,klaytn,Klaytn,0xe4f05a66ec68b54a58b17c22107b02e0232cc817,KLAY
1030,https://evm.confluxscan.io,https://www.geckoterminal.com/cfx/pools,cfx,Conflux,0x14b2d3bc65e74dae1030eafd8ac30c533c976a9b,cfx
1088,https://andromeda-explorer.metis.io,https://www.geckoterminal.com/metis/pools,metis,Metis,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,METIS
1116,https://scan.coredao.org,https://www.geckoterminal.com/core/pools,core,Core,0x40375c92d9faf44d2f9db9bd9ba41a3317a2404f,CORE
25,https://cronoscan.com/tx,https://www.geckoterminal.com/cro/pools,cro,Cronos,0x5c7f8a570d578ed84e63fdfa7b1ee72deae1ae23,CRO
2020,https://explorer.roninchain.com,https://www.geckoterminal.com/ronin/pools,ronin,Ronin,0xc99a6a985ed2cac1ef41640596c5a5f9f4e19ef5,eth
42170,https://nova.arbiscan.io,https://www.geckoterminal.com/arbitrum_nova/pools,arbitrum_nova,Arbitrum Nova,0x722e8bdd2ce80a4422e880164f2079488e115365,ETH
199,https://bttcscan.com,https://www.geckoterminal.com/bttc/pools,bttc,BitTorrent,0x8d193c6efa90bcff940a98785d1ce9d093d3dc8a,btt
128,https://hecoinfo.com,https://www.geckoterminal.com/heco/pools,heco,Huobi ECO Chain,0x5545153ccfca01fbd7dd11c0b23ba694d9509a6f,HT
1101,https://zkevm.polygonscan.com,https://www.geckoterminal.com/polygon-zkevm/pools,polygon-zkevm,Polygon zkEVM,0x4f9a0e7fd2bf6067db6994cf12e4495df938e6e9,eth
1111,https://explorer.wemix.com,https://www.geckoterminal.com/wemix/pools,wemix,WEMIX,0x7d72b22a74a216af4a002a1095c8c707d6ec1c5f,WEMIX
1284,https://moonscan.io,https://www.geckoterminal.com/glmr/pools,glmr,Moonbeam,0xacc15dc74880c9944775448304b263d191c6077f,GLMR
1666600000,https://explorer.harmony.one,https://www.geckoterminal.com/one/pools,one,Harmony,0xcf664087a5bb0237a0bad6742852ec6c8d69a27a,ONE
2222,https://explorer.kava.io,https://www.geckoterminal.com/kava/pools,kava,Kava,0xc86c7c0efbd6a49b35e8714c5f59d99de09a225b,kava
66,https://www.oklink.com/oec/,https://www.geckoterminal.com/okexchain/pools,okexchain,OKExChain,0x8f8526dbfd6e38e3d8307702ca8469bae6c56c15,OKT
42220,https://explorer.celo.org,https://www.geckoterminal.com/celo/pools,celo,CELO,0x471ece3750da237f93b8e339c536989b8978a438,CELO
530,https://starscan.io/evm,https://www.geckoterminal.com/fx/pools,fx,FX,0x80b5a32e4f032b2a058b4f29ec95eefeeb87adcd,FX
